id;ddate;pid;irole
1;9;124;X
2;5;553;D
3;3;472;D
4;3;485;D
5;17;469;D
6;2;516;D
7;4;526;D
8;18;469;D
9;15;71;X
10;19;469;D
11;12;440;D
12;13;486;D
13;12;421;D
14;7;507;D
15;2;484;D
16;11;71;X
17;2;534;D
18;3;124;X
19;15;348;D
20;21;452;D
21;7;528;D
22;3;489;D
23;43;507;D
24;5;137;D
25;16;179;X
26;7;179;X
27;6;71;X
28;7;278;D
29;5;309;X
30;5;84;D
31;20;452;D
32;2;71;X
