id;date;from_seliste_id;to_seliste_id;exchange;value
959;2018-08-31;81;371;"Arrosage de plantes";60
960;2018-08-31;59;253;"don de 5 guides Gallimard";25
961;2018-09-04;11;318;"Prêt d'une ponceuse vibrante";30
962;2018-09-06;163;230;"donne plat en terre avec couvercle .Romertofp";50
968;2018-09-09;494;345;"Vers pour lombricompost";30
964;2018-09-06;11;345;"Prêt d'un niveau à bulles";10
969;2018-09-14;314;57;"Garde de chaton pendant l'été";60
970;2018-09-15;59;74;"jeux d'enfants";300
971;2018-09-20;489;371;"Don de graines de kéfir";10
972;2018-10-03;345;84;"Bouture de plante ";10
973;2018-10-06;371;353;"BLE intersel Carrières-sous-Poissy";210
974;2018-10-06;103;353;"BLE Intersel Carrieres sous Poissy";140
975;2018-10-30;43;256;"prêt de livre Mai 68";5
976;2018-11-08;504;318;"Prêt de pouf";10
977;2018-11-07;264;371;"Don de noix";60
978;2018-11-10;81;45;"Prêt vélo";50
979;2018-11-14;56;287;"remise en route d'un scanner";60
980;2018-11-22;282;384;"Transport pour rdv médical";150
981;2018-11-25;81;43;"pret furet";30
982;2018-12-04;11;94;"Réparation messagerie électronique";30
983;2018-12-05;230;124;"pret d'un extracteur à jus";40
984;2018-12-08;124;287;"don de 5 tickets bateau mouche";40
985;2018-12-19;43;74;"Don d'un livre";15
986;2018-12-20;494;318;"Prêt d'aiguilles à tricoter n° 10";5
987;2018-12-08;324;264;"couronne de noel";60
988;2018-12-25;446;273;"art postal";50
989;2018-12-31;325;490;"Don 2 places pour musée du Louvre";30
990;2019-01-12;124;446;"Prêt agrafeuse";30
991;2019-01-12;230;318;"Prêt de yaourtière";20
992;2018-12-10;84;381;"Prêt d’un perforateur ";50
993;2019-01-11;282;94;"Travaux sur circuit d'eau";30
994;2018-12-30;71;11;"Prêt d'un couscoussier";60
995;2019-01-18;56;11;"Écran pour ordinateur de bureau";180
996;2019-01-21;287;371;"Don de tissu";10
997;2019-01-23;282;220;"Bricolage - explication pour réalisation enduits";70
998;2019-01-23;489;220;"conseils pour réparation machine  à laver";10
999;2019-01-23;345;220;"conseils pour réparation machine  à laver";5
1000;2019-01-23;380;264;"Donne trottinette 1er age";40
1001;2019-01-24;371;345;"Bidon de lessive vide";5
1002;2019-01-26;282;318;"Installation plaque induction";100
1003;2019-01-27;124;81;"pret BD";10
1004;2019-02-01;446;380;"Besoin d'un coupe-carrelage";30
1005;2019-02-10;45;324;"Atelier masques, rencontre mensuelle février 2019";300
1006;2019-02-11;163;446;"prêt furet (merci, évier débouché !!)";10
1007;2019-02-12;84;163;"transport d'un fauteuil";20
1008;2019-02-05;94;163;"garde de chat";75
1009;2019-02-23;124;81;"pret bd";20
1010;2019-02-09;324;264;"conn masquefectio";60
1011;2019-02-27;345;43;"Prêt de livre";10
1012;2019-03-04;320;264;"perruque";5
1013;2019-03-06;287;163;"prêt d'un pistolet à colle";20
1014;2019-03-07;124;318;"Prêt livre";10
1015;2019-03-15;81;282;"Travail couture";50
1016;2019-03-17;446;412;"cave pour scooter ";100
1017;2019-03-20;371;287;"don de chutes de papier peint";10
1018;2019-03-20;11;239;"Don de 6 revues Sciences et Avenir";60
1019;2019-04-01;47;282;"Infos verbales soins de soi";50
1020;2019-04-03;124;282;"Prêt de documents touristiques";50
1021;2019-04-10;345;45;"3 boutures";30
1025;2019-05-02;282;81;"Karcher";100
1023;2019-04-10;264;371;"Prêt d'un entonnoir";20
1024;2019-04-17;11;371;"Prêt de tente";120
1026;2019-05-02;81;239;"Orhan Pamuk La femme aux cheveux roux";10
1027;2019-05-02;337;318;"Prêt ciseaux à cranter";30
1028;2019-05-15;11;239;"Don de 2 revues Sciences et Avenir";20
1029;2019-05-19;81;345;"prêt de livre";10
1030;2019-05-20;103;230;"GPS";100
1031;2019-05-17;253;74;"Lit futon (tatami et matelas) 1 personne";75
1032;2019-05-28;253;230;"Lit futon (tatami et matelas) 2 personnes";150
1033;2019-06-06;103;74;"Meuble";20
1034;2019-06-06;43;74;"meuble";20
1035;2019-06-16;318;103;"Pret diable";10
1036;2019-06-15;318;43;"pret diable";10
1037;2019-06-19;11;510;"Prêt d'un rabot";15
1038;2019-06-28;287;371;"Don de chaussures de marche";10
1039;2019-07-01;287;345;"Prêt d'une valise";30
1040;2019-06-26;11;124;"Prêt d'un mölkky";15
1041;2019-06-15;11;324;"Prépration Rencontre Mensuelle de juin 2019";60
1042;2019-06-15;45;324;"Prépration Rencontre Mensuelle de juin 2019";60
1043;2019-06-19;43;353;"BLÉ InterSÉL à Cergy";270
1044;2019-06-19;103;353;"BLÉ InterSÉL à Cergy";270
1050;2019-08-07;412;59;"Arrosage du jardin ";300
1046;2019-07-22;345;390;"retrait de produits à l'amap";10
1047;2019-07-30;318;45;"Arrosage";150
1048;2019-07-30;318;11;"Arrosage";150
1049;2019-07-31;348;45;"Molleton";15
1051;2019-08-13;345;489;"Matelas pneumatique";30
1052;2019-08-18;94;163;"co voiturage";40
1053;2019-08-27;84;163;"changement de régulateur solaire";100
1054;2019-08-27;345;45;"Dé à jouer";5
1055;2019-09-08;81;282;"Accompagnement Roissy";120
1056;2019-09-10;318;45;"Accompagnement Aéroport CDG";75
1057;2019-09-10;318;11;"Accompagnement Aéroport CDG";75
1058;2019-09-12;59;412;"Don d'aspirateur sans sac";200
1059;2019-09-11;59;81;"Don d'un livre";50
1060;2019-09-14;59;446;"des prunes du jardin :)";10
1061;2019-09-16;494;452;"Prêt bêche de jardin";10
1062;2019-09-22;282;11;"Accompagnement aéroport domicile";60
1063;2019-09-22;282;45;"Accompagnement aéroport domicile";60
1064;2019-10-02;314;371;"Don de mouchoirs en tissu";15
1065;2019-09-25;11;239;"Don de 3 revues Sciences et Avenir";30
1083;2019-12-18;345;150;"petits flacons";5
1067;2019-09-28;84;390;"prêt d'une boite de clés à cliquets";10
1068;2019-09-25;264;348;"Marjolaine";2
1069;2019-10-06;43;74;"meuble à tiroirs";30
1070;2019-10-05;348;74;"boutons";5
1071;2019-10-14;287;150;"don de deux fauteuils roulants pliants";300
1072;2019-10-13;11;245;"Aide à la pose d'un meuble";30
1073;2019-10-13;45;245;"Aide à la pose d'un meuble";30
1074;2019-10-16;264;371;"Noix";50
1075;2019-10-23;245;43;"Prêt adaptateur prise";10
1084;2019-11-20;345;504;"paniers de légumes";120
1085;2019-10-25;318;11;"Accompagnement Aéroport CDG";50
1078;2019-11-16;371;324;"Préparation rencontre mensuelle de novembre";120
1079;2019-11-18;45;220;"pret d'un rotofil";40
1080;2019-11-19;94;446;"jeu croque carotte";20
1081;2019-12-08;103;273;"yaourtiere";35
1082;2019-12-08;59;74;"livres et jeux enfants";200
1086;2019-10-25;318;45;"Accompagnement Aéroport CDG";50
1087;2019-12-31;417;253;"Fauteuil avec pouf";150
